no.,serial_number_for_camera,precinct,police_office,location
4112,DF028,大安,羅斯福路,辛亥路2段171巷6弄4號前
4113,DF029,大安,羅斯福路,辛亥路2段103號
4114,DF030,大安,羅斯福路,和平東路2段76巷 與17弄1號
4115,DF031,大安,羅斯福路,和平東路2段96巷7-1號
4116,DF032,大安,羅斯福路,新生南路3段42號前
4117,DF032,大安,羅斯福路,新生南路3段42號前
4118,DF033,大安,羅斯福路,新生南路3段54巷4號前
4119,DF034,大安,羅斯福路,新生南路3段54之8號前
4120,DF034,大安,羅斯福路,新生南路3段54之8號前
4121,DF035,大安,羅斯福路,新生南路3段60巷1號
4122,DF036,大安,羅斯福路,新生南路3段70巷68-1號
4123,DF037,大安,羅斯福路,新生南路3段76巷3號
4124,DF038,大安,羅斯福路,新生南路3段84-8號
4125,DF039,大安,羅斯福路,新生南路3段96-5號
4126,DF040,大安,羅斯福路,新生南路3段98號
4127,DF040,大安,羅斯福路,新生南路3段98號
4128,DF041,大安,羅斯福路,羅斯福路3段333巷7號旁
4129,DF042,大安,羅斯福路,羅斯福路3段、新生南路3段110號
4130,DF042,大安,羅斯福路,羅斯福路3段、新生南路3段110號
4131,DF042,大安,羅斯福路,羅斯福路3段、新生南路3段110號
4132,DF043,大安,羅斯福路,溫州街80號旁
4133,DF044,大安,羅斯福路,羅斯福路3段267號前
4134,DF046,大安,羅斯福路,辛亥路1段34巷1號36號-34巷口燈桿
4135,DF047,大安,羅斯福路,辛亥路1段48號
4136,DF047,大安,羅斯福路,辛亥路1段48號
4137,DF048,大安,羅斯福路,辛亥路1段64號
4138,DF049,大安,羅斯福路,辛亥路1段102號前
4139,DF049,大安,羅斯福路,辛亥路1段102號前
4140,DF050,大安,羅斯福路,溫州街46巷6之2號
4141,DF051,大安,羅斯福路,羅斯福路3段283巷16號
4142,DF052,大安,羅斯福路,溫州街58巷口(與溫州街口)64號-58巷口燈桿
4143,DF053,大安,羅斯福路,溫州街74巷12號
4144,DF054,大安,羅斯福路,溫州街46巷2號旁燈桿
4145,DF055,大安,羅斯福路,溫州街68巷12號
4146,DF056,大安,羅斯福路,溫州街52巷2號前
4147,DF057,大安,羅斯福路,新生南路3段86巷13號旁
4148,DF058,大安,羅斯福路,溫州街78號旁燈桿
4149,DF059,大安,羅斯福路,羅斯福路3段283巷7弄2號對面
4150,DF060,大安,羅斯福路,羅斯福路3段283巷19弄2號
4151,DF061,大安,羅斯福路,羅斯福路3段283巷21弄2號
4152,DF062,大安,羅斯福路,羅斯福路3段283巷25號旁
4153,DF063,大安,羅斯福路,溫州街58巷11號對面
4154,DF064,大安,羅斯福路,基隆路4段41巷68弄宇芳蘭路口(公館國小左後方)
4155,DF066,大安,羅斯福路,羅斯福路3段177號前
4156,DF067,大安,羅斯福路,雲和街與泰順街口93號旁燈桿
4157,DF068,大安,羅斯福路,雲和街74號
4158,DF069,大安,羅斯福路,龍泉街93巷9之2號對面
4159,DF070,大安,羅斯福路,泰順街54巷17號
4160,DF071,大安,羅斯福路,泰順街60巷20號旁燈桿
4161,DF071,大安,羅斯福路,泰順街60巷20號旁燈桿
4162,DF072,大安,羅斯福路,泰順街50巷1號對面
4163,DF073,大安,羅斯福路,泰順街50巷26號
4164,DF074,大安,羅斯福路,泰順街62巷2號
4165,DF075,大安,羅斯福路,師大路83巷2號
4166,DF076,大安,羅斯福路,師大路91號旁、師大路93巷口93巷1號旁
4167,DF077,大安,羅斯福路,師大路107號旁
4168,DF078,大安,羅斯福路,泰順街62巷12弄9號
4169,DF079,大安,羅斯福路,師大路119號
4170,DF080,大安,羅斯福路,師大路135巷2號旁燈桿
4171,DF081,大安,羅斯福路,辛亥路1段103號與泰順街口
4172,DF081,大安,羅斯福路,辛亥路1段103號與泰順街口
4173,DF082,大安,羅斯福路,辛亥路1段77號前分隔島上
4174,DF083,大安,羅斯福路,基隆路4段口與羅斯福路4段113巷口
4175,DF083,大安,羅斯福路,基隆路4段口與羅斯福路4段113巷口
4176,DF084,大安,羅斯福路,北市大安區芳蘭路底（路口監控）
4177,DF085,大安,羅斯福路,基隆路與長興街口西南角(基隆高架下7-11旁對面)
4178,DF085,大安,羅斯福路,基隆路與長興街口西南角(基隆高架下7-11旁對面)
4179,DF086,大安,羅斯福路,羅斯福路4段125號前
4180,DF086,大安,羅斯福路,羅斯福路4段125號前
4181,DF087,大安,羅斯福路,基隆路4段41巷口(東南角)
4182,DF087,大安,羅斯福路,基隆路4段41巷口(東南角)
4183,DF088,大安,羅斯福路,辛亥路3段與芳蘭路口西北角號誌桿
4184,DF088,大安,羅斯福路,辛亥路3段與芳蘭路口西北角號誌桿
4185,DF089,大安,羅斯福路,北市大安區辛亥路3段330號前（往辛亥隧道）（路口監控）
4186,DF090,大安,羅斯福路,長興街80巷52號
4187,DF091,大安,羅斯福路,長興街131號自來水廠
4188,DF092,大安,羅斯福路,北市大安區長興街62號及62-2號前路口監控
4189,DF093,大安,羅斯福路,基隆路4段41巷68弄6號
4190,DF094,大安,羅斯福路,羅斯福路3段283巷14弄16號對面(懷恩堂旁)
4191,DF104,大安,羅斯福路,基隆路3段153號.155巷口動物醫院高橋底下
4192,DF096,大安,羅斯福路,基隆路3段155巷107弄1號旁
4193,DF097,大安,羅斯福路,基隆路3段155巷109號前
4194,DF098,大安,羅斯福路,基隆路3段155巷148號前
4195,DF099,大安,羅斯福路,基隆路3段155巷61號
4196,DF100,大安,羅斯福路,基隆路3段155巷138弄18號前
4197,DF101,大安,羅斯福路,基隆路3段155巷136弄128號公廁前
4198,DF102,大安,羅斯福路,基隆路3段155巷176弄自來水廠停車旁
4199,DF103,大安,羅斯福路,基隆路3段155巷180號前
4200,DF104,大安,羅斯福路,基隆路3段153號、155巷口動物醫院高架橋底下
4201,DF105,大安,羅斯福路,羅斯福路4段123巷15號前
4202,DF106,大安,羅斯福路,羅斯福路4段119巷20號對面
4203,DF107,大安,羅斯福路,羅斯福路4段119巷52號前
4204,DF108,大安,羅斯福路,羅斯福路4段119巷68弄15號
4205,DF109,大安,羅斯福路,羅斯福路4段119巷68弄19號
4206,DF110,大安,羅斯福路,建國南路2段322巷8號
4207,DF111,大安,羅斯福路,建國南路2段282號、新生南路3段19弄40號前
4208,DF113,大安,羅斯福路,北市大安區建國南路2段308巷10弄2號前(路口監控)
4209,DF114,大安,羅斯福路,北市大安區新生南路3段19巷口路口監控
4210,DF115,大安,羅斯福路,新生南路3段19巷10號
4211,DF116,大安,羅斯福路,北市大安區和平東路2段18巷與辛亥路口路口監控
4212,DF117,大安,羅斯福路,和平東路2段18巷口
4213,DF118,大安,羅斯福路,和平東路2段76巷5弄口
4214,DF119,大安,羅斯福路,和平東路2段62巷底
4215,DF120,大安,羅斯福路,建國南路2段308巷5號
4216,DF121,大安,羅斯福路,和平東路、建國南路口東南角
4217,DF121,大安,羅斯福路,和平東路、建國南路口東南角
4218,DF122,大安,羅斯福路,新生南路3段25巷口
4219,DF123,大安,羅斯福路,和平東路2段64號
4220,DF123,大安,羅斯福路,和平東路2段64號
4221,DF124,大安,羅斯福路,建國南路2段292號
4222,DF124,大安,羅斯福路,建國南路2段292號
4223,DF125,大安,羅斯福路,和平東路2段18巷3弄35號
4224,DF126,大安,羅斯福路,新生南路3段86巷21號旁
4225,DF127,大安,羅斯福路,羅斯福路三段269號巷58號
4226,DF127,大安,羅斯福路,羅斯福路三段269號巷58號
4227,DF129,大安,羅斯福路,辛亥路1段103號旁
4228,DF129,大安,羅斯福路,辛亥路1段103號旁
4229,DF131,大安,羅斯福路,辛亥路3段與芳蘭路口西北角燈桿
4230,DF131,大安,羅斯福路,辛亥路3段與芳蘭路口西北角燈桿
4231,DF133,大安,羅斯福路,建國南路與辛亥路口(下建國高架)
4232,DF133,大安,羅斯福路,建國南路與辛亥路口(下建國高架)
4233,DF135,大安,羅斯福路,辛亥路與建國南路
4234,DF135,大安,羅斯福路,辛亥路與建國南路
4235,DF-LPR07,大安,羅斯福路,辛亥路1段與羅斯福路3段高架橋出入口
4236,DF-LPR07,大安,羅斯福路,辛亥路1段與羅斯福路3段高架橋出入口
4237,DF-LPR07,大安,羅斯福路,辛亥路1段與羅斯福路3段高架橋出入口
4238,DF-LPR07,大安,羅斯福路,辛亥路1段與羅斯福路3段高架橋出入口
4239,DF-LPR07,大安,羅斯福路,辛亥路1段與羅斯福路3段高架橋出入口
4240,DF-LPR07,大安,羅斯福路,辛亥路1段與羅斯福路3段高架橋出入口
4241,DG001,大安,臥龍街,復興南路2段345號
4242,DG002,大安,臥龍街,"基隆路二段,敦化南路二段(地下道)"
4243,DG002,大安,臥龍街,"基隆路二段,敦化南路二段(地下道)"
4244,DG003,大安,臥龍街,辛亥路3段5號
4245,DG004,大安,臥龍街,復興南路2段369號前
4246,DG005,大安,臥龍街,辛亥路3段15號
4247,DG006,大安,臥龍街,和平東路2段134號
4248,DG006,大安,臥龍街,和平東路2段134號
4249,DG007,大安,臥龍街,基隆路、敦化南路口(上海商業銀行前分隔島)
4250,DG008,大安,臥龍街,敦化南路2段335號(三角形分隔島)
4251,DG008,大安,臥龍街,敦化南路2段335號(三角形分隔島)
4252,DG009,大安,臥龍街,基隆路、辛亥路口 西南角
4253,DG010,大安,臥龍街,和平東路3段2號、臥龍街
4254,DG010,大安,臥龍街,和平東路3段2號、臥龍街
4255,DG011,大安,臥龍街,臥龍街82號旁
4256,DG013,大安,臥龍街,臥龍街58巷口對面燈桿(福安宮旁)
4257,DG013,大安,臥龍街,臥龍街58巷口對面燈桿(福安宮旁)
4258,DG014,大安,臥龍街,復興南路、辛亥路口東面小綠人
4259,DG015,大安,臥龍街,敦南街57號前
4260,DG016,大安,臥龍街,敦南街51號前
4261,DG017,大安,臥龍街,敦南街76巷3號斜對面
4262,DG017,大安,臥龍街,敦南街76巷3號斜對面
4263,DG018,大安,臥龍街,臥龍街56巷6之2號
4264,DG019,大安,臥龍街,基隆路3段2號旁巷口
4265,DG020,大安,臥龍街,敦化南路2段200巷口、206號旁
4266,DG020,大安,臥龍街,敦化南路2段200巷口、206號旁
4267,DG022,大安,臥龍街,臥龍街21號旁、23巷口
4268,DG022,大安,臥龍街,臥龍街21號旁、23巷口
4269,DG023,大安,臥龍街,和平東路3段98巷2弄1號旁
4270,DG024,大安,臥龍街,和平東路3段2號
4271,DG025,大安,臥龍街,敦化南路2段172巷16號
4272,DG026,大安,臥龍街,敦化南路2段172巷10號
4273,DG027,大安,臥龍街,敦化南路2段289號旁293巷口
4274,DG027,大安,臥龍街,敦化南路2段289號旁293巷口
4275,DG028,大安,臥龍街,敦化南路2段200巷14弄12號1F之3旁
4276,DG029,大安,臥龍街,北市大安區和平東路3段62巷口．和平東路3段64號旁
4277,DG029,大安,臥龍街,北市大安區和平東路3段62巷口．和平東路3段64號旁
4278,DG030,大安,臥龍街,北市大安區和平東路3段96號
4279,DG030,大安,臥龍街,北市大安區和平東路3段96號
4280,DG031,大安,臥龍街,樂業街29號(對面燈桿)
4281,DG032,大安,臥龍街,和平東路3段76號
4282,DG033,大安,臥龍街,敦化南路2段200巷26號旁、臥龍街口
4283,DG034,大安,臥龍街,敦化南路2段200巷11號旁巷口燈桿
4284,DG034,大安,臥龍街,敦化南路2段200巷11號旁巷口燈桿
4285,DG035,大安,臥龍街,和平東路2段311巷43弄
4286,DG036,大安,臥龍街,和平東路2段367號前
4287,DG037,大安,臥龍街,四維路186巷11號
4288,DG038,大安,臥龍街,四維路216巷22號
4289,DG039,大安,臥龍街,敦化南路2段112號旁(停車場前)
4290,DG040,大安,臥龍街,四維路198巷與四維路口
4291,DG040,大安,臥龍街,四維路198巷與四維路口
4292,DG041,大安,臥龍街,敦化南路2段162號前
4293,DG041,大安,臥龍街,敦化南路2段162號前
4294,DG042,大安,臥龍街,敦化南路2段130號(安源)
4295,DG043,大安,臥龍街,四維路218號前
4296,DG044,大安,臥龍街,四維路230號旁(228巷口)
4297,DG044,大安,臥龍街,四維路230號旁(228巷口)
4298,DG045,大安,臥龍街,復興南路2段191號前
4299,DG046,大安,臥龍街,復興南路2段193巷、和平東路2段265巷19號旁
4300,DG047,大安,臥龍街,復興南路2段273號前燈桿(麥當勞前)
4301,DG047,大安,臥龍街,復興南路2段273號前燈桿(麥當勞前)
4302,DG048,大安,臥龍街,四維路218號旁
4303,DG049,大安,臥龍街,四維路208巷18-1號
4304,DG050,大安,臥龍街,四維路182巷17號對面
4305,DG051,大安,臥龍街,四維路190號旁
4306,DG052,大安,臥龍街,四維路198巷12號前
4307,DG052,大安,臥龍街,四維路198巷12號前
4308,DG053,大安,臥龍街,和平東路3段51號前
4309,DG053,大安,臥龍街,和平東路3段51號前
4310,DG054,大安,臥龍街,敦化南路2段98號前
4311,DG054,大安,臥龍街,敦化南路2段98號前
4312,DG055,大安,臥龍街,和平東路2段265巷64號對面
4313,DG055,大安,臥龍街,和平東路2段265巷64號對面
4314,DG056,大安,臥龍街,北市大安區復興南路2段１５１巷６－１號前路口監控
4315,DG057,大安,臥龍街,和平東路2段311巷43弄26號
4316,DG058,大安,臥龍街,和平東路2段311巷59號前
4317,DG058,大安,臥龍街,和平東路2段311巷59號前
4318,DG060,大安,臥龍街,復興南路2段171巷9號對面
4319,DG061,大安,臥龍街,和平東路3段1巷1號旁
4320,DG062,大安,臥龍街,四維路198巷與和平東路3段1巷交叉口
4321,DG063,大安,臥龍街,和平東路2段311巷34弄16號前
4322,DG064,大安,臥龍街,復興南路2段193巷16弄18號
4323,DG065,大安,臥龍街,和平東路2段265巷27號旁
4324,DG066,大安,臥龍街,和平東路3段1巷40號前
4325,DG069,大安,臥龍街,和平東路3段1巷-四維路170巷22號旁
4326,DG069,大安,臥龍街,和平東路3段1巷-四維路170巷22號旁
4327,DG071,大安,臥龍街,四維路170巷口大安路口(成功國宅)
4328,DG072,大安,臥龍街,基隆路2段261號、樂業街（高架橋）
4329,DG072,大安,臥龍街,基隆路2段261號、樂業街（高架橋）
4330,DG073,大安,臥龍街,和平東路3段212巷28號
4331,DG074,大安,臥龍街,北市大安區臥龍街129號前(路口監控)
4332,DG074,大安,臥龍街,北市大安區臥龍街129號前(路口監控)
4333,DG075,大安,臥龍街,基隆路2段291巷35號
4334,DG076,大安,臥龍街,樂業街108巷31號旁(108巷底)
4335,DG077,大安,臥龍街,基隆路2段289號旁
4336,DG077,大安,臥龍街,基隆路2段289號旁
4337,DG078,大安,臥龍街,樂業街72巷29號前
4338,DG079,大安,臥龍街,臥龍街131巷11弄3號(大安國小游泳池左側)
4339,DG080,大安,臥龍街,樂業街96號
4340,DG081,大安,臥龍街,臥龍街131巷13弄1號、臥龍街151巷口
4341,DG082,大安,臥龍街,和平東路3段212巷23號
4342,DG083,大安,臥龍街,嘉興街374號前
4343,DG084,大安,臥龍街,樂業街72巷3號
4344,DG085,大安,臥龍街,基隆路2段291巷11號與嘉興街交叉口
4345,DG086,大安,臥龍街,和平東路3段210號
4346,DG086,大安,臥龍街,和平東路3段210號
4347,DG087,大安,臥龍街,基隆路2段209巷18號
4348,DG089,大安,臥龍街,基隆路2段291巷口
4349,DG089,大安,臥龍街,基隆路2段291巷口
4350,DG090,大安,臥龍街,和平東路3段233號、嘉興街口
4351,DG090,大安,臥龍街,和平東路3段233號、嘉興街口
4352,DG091,大安,臥龍街,嘉興街327號旁
4353,DG092,大安,臥龍街,北市大安區樂業街111號前（路口監控）
4354,DG093,大安,臥龍街,和平東路3段228巷、和平東路3段230號
4355,DG093,大安,臥龍街,和平東路3段228巷、和平東路3段230號
4356,DG094,大安,臥龍街,和平東路3段228巷、樂業街136號口
4357,DG094,大安,臥龍街,和平東路3段228巷、樂業街136號口
4358,DG096,大安,臥龍街,臥龍街151巷、臥龍街155號前
4359,DG097,大安,臥龍街,辛亥路3段157巷22弄2號旁
4360,DG097,大安,臥龍街,辛亥路3段157巷22弄2號旁
4361,DG098,大安,臥龍街,樂業街110號前
4362,DG099,大安,臥龍街,辛亥路3段117號前
4363,DG100,大安,臥龍街,基隆路2段291巷31-2號前
4364,DG101,大安,臥龍街,和平東路3段212巷42號
4365,DG102,大安,臥龍街,北市大安區和平東路3段208號前路口監控
4366,DG103,大安,臥龍街,安居街84巷、臥龍街151巷25號
4367,DG104,大安,臥龍街,安居街106號
4368,DG105,大安,臥龍街,安居街75巷7號、臥龍街口旁
4369,DG106,大安,臥龍街,安居街98巷1號
4370,DG107,大安,臥龍街,安居街108巷31號、臥龍街151巷口
4371,DG108,大安,臥龍街,安居街118巷21號前
4372,DG109,大安,臥龍街,安居街124巷7號
4373,DG110,大安,臥龍街,臥龍街195巷、臥龍街191號
4374,DG111,大安,臥龍街,臥龍街188巷22號
4375,DG112,大安,臥龍街,臥龍街195巷45號
4376,DG112,大安,臥龍街,臥龍街195巷45號
4377,DG113,大安,臥龍街,安居街、樂業街145號
4378,DG114,大安,臥龍街,臥龍街188巷42號
4379,DG115,大安,臥龍街,辛亥路3段(辛亥隧道北方出口旁燈桿)
4380,DG116,大安,臥龍街,辛亥路3段157巷口2號對面號誌
4381,DG116,大安,臥龍街,辛亥路3段157巷口2號對面號誌
4382,DG117,大安,臥龍街,樂業街、臥龍街151巷35號
4383,DG118,大安,臥龍街,臥龍街151巷19號
4384,DG119,大安,臥龍街,辛亥路3段157巷12弄16號
4385,DG121,大安,臥龍街,北市大安區臥龍街（莊敬隧道口）路口監控
4386,DG121,大安,臥龍街,北市大安區臥龍街（莊敬隧道口）路口監控
4387,DG122,大安,臥龍街,和平東路3段410號(麟光站往406巷出口)
4388,DG122,大安,臥龍街,和平東路3段410號(麟光站往406巷出口)
4389,DG123,大安,臥龍街,和平東路3段430號
4390,DG123,大安,臥龍街,和平東路3段430號
4391,DG124,大安,臥龍街,富陽街96號對面
4392,DG124,大安,臥龍街,富陽街96號對面
4393,DG125,大安,臥龍街,和平東路3段400號旁
4394,DG126,大安,臥龍街,臥龍街254之1號前號誌桿
4395,DG127,大安,臥龍街,臥龍街293號前
4396,DG128,大安,臥龍街,富陽街147號旁燈桿
4397,DG129,大安,臥龍街,臥龍街250號前號誌桿
4398,DG130,大安,臥龍街,北市大安區富陽街．臥龍街272巷口路口監控
4399,DG131,大安,臥龍街,臥龍街424號
4400,DG132,大安,臥龍街,臥龍街433號
4401,DG133,大安,臥龍街,臥龍街306號對面
4402,DG134,大安,臥龍街,臥龍街574號（台和實業）
4403,DG135,大安,臥龍街,和平東路3段322號
4404,DG136,大安,臥龍街,北市大安區和平東路3段446號前路口監控
4405,DG137,大安,臥龍街,臥龍街372號
4406,DG137,信義,六張犁,臥龍街372號
4407,DG138,大安,臥龍街,臥龍街236號（警察機械修理廠）
4408,DG139,大安,臥龍街,富陽街152巷2號
4409,DG140,大安,臥龍街,富陽街158巷1號
4410,DG141,大安,臥龍街,和平東路3段226號
4411,DG141,大安,臥龍街,和平東路3段226號
4412,DG142,大安,臥龍街,和平東路3段306號旁
4413,DG142,大安,臥龍街,和平東路3段306號旁
4414,DG143,大安,臥龍街,和平東路3段308巷39弄2號
4415,DG144,大安,臥龍街,樂業街162號旁
4416,DG145,大安,臥龍街,樂業街169巷2號
4417,DG146,大安,臥龍街,安居街9巷33號前
4418,DG147,大安,臥龍街,安居街8巷19號旁
4419,DG148,大安,臥龍街,安居街4號前
4420,DG149,大安,臥龍街,北市大安區和平東路3段228巷25號前路口監控
4421,DG150,大安,臥龍街,安居街46巷、安居街口
4422,DG150,大安,臥龍街,安居街46巷、安居街口
4423,DG152,大安,臥龍街,和平東路3段228巷78號
4424,DG153,大安,臥龍街,樂業街169巷32號前
4425,DG154,大安,臥龍街,安居街35巷2號對面
4426,DG155,大安,臥龍街,和平東路3段308巷15弄1號邊燈桿
4427,DG156,大安,臥龍街,基隆路三段6號旁燈桿
4428,DG157,大安,臥龍街,臥龍街58巷8號旁
4429,DG158,大安,臥龍街,基隆路3段與辛亥路3段口東南角
4430,DG158,大安,臥龍街,基隆路3段與辛亥路3段口東南角
4431,DG159,大安,臥龍街,敦南街63~67號旁燈桿
4432,DG160,大安,臥龍街,臥龍街60巷和敦南街口(臥龍街60巷停車場對面燈桿)
4433,DG161,大安,臥龍街,復興南路2段375巷5弄2號對面人行道
4434,DG163,大安,臥龍街,和平東路2段128號
4435,DG164,大安,臥龍街,敦南街93號 ( 照里辦公處門口)
4436,DG165,大安,臥龍街,基隆路3段22巷9號旁空地前燈桿
4437,DG166,大安,臥龍街,復興南路2段399號前小綠人(辛亥路口)
4438,DG167,大安,臥龍街,基隆路3段20-4號旁燈桿
4439,DG169,大安,臥龍街,和平東路3段124號與基隆路2段190號交叉口(三角分隔島上燈桿)
4440,DG170,大安,臥龍街,樂業街17號前燈桿
4441,DG171,大安,臥龍街,樂業街65巷3號燈桿
4442,DG172,大安,臥龍街,基隆路2段、190號中央分隔島
4443,DG172,大安,臥龍街,基隆路2段、190號中央分隔島
4444,DG174,大安,臥龍街,樂業街118巷4號
4445,DG175,大安,臥龍街,臥龍街151巷70弄13號
4446,DG176,大安,臥龍街,臥龍街26號對面號誌桿
4447,DG177,大安,臥龍街,"基隆路2段,敦化南路2段(地下道)"
4448,DG177,大安,臥龍街,"基隆路2段,敦化南路2段(地下道)"
4449,DG-LPR08,大安,臥龍街,基隆路2段與樂業街交叉口
4450,DG-LPR08,大安,臥龍街,基隆路2段與樂業街交叉口
4451,EA001,中正一,博愛路,博愛路與忠孝西路1段地下道
4452,EA002,中正一,博愛路,忠孝西路1段120號對面(分隔島上)
4453,EA004,中正一,博愛路,北平西路56號(面對鐵路警察局左側燈桿)
4454,EA004,中正一,博愛路,北平西路56號(面對鐵路警察局左側燈桿)
4455,EA005,中正一,博愛路,忠孝西路1段重慶北路口西北側
4456,EA005,中正一,博愛路,忠孝西路1段重慶北路口西北側
4457,EA006,中正一,博愛路,重慶南路1段30號靠開封街
4458,EA006,中正一,博愛路,重慶南路1段30號靠開封街
4459,EA008,中正一,博愛路,重慶南路1段58號
4460,EA008,中正一,博愛路,重慶南路1段58號
4461,EA009,中正一,博愛路,重慶南路1段94號
4462,EA010,中正一,博愛路,重慶南路與衡陽路西北角
4463,EA012,中正一,博愛路,博愛路9號旁
4464,EA012,中正一,博愛路,博愛路9號旁
4465,EA013,中正一,博愛路,博愛路31-1號
4466,EA013,中正一,博愛路,博愛路31-1號
4467,EA014,中正一,博愛路,博愛路、武昌街1段路口
4468,EA014,中正一,博愛路,博愛路、武昌街1段路口
4469,EA015,中正一,博愛路,博愛路142號
4470,EA016,中正一,博愛路,博愛路134號前
4471,EA017,中正一,博愛路,博愛路、衡陽路口
4472,EA018,中正一,博愛路,延平北路、北平西路口
4473,EA018,中正一,博愛路,延平北路、北平西路口
4474,EA019,中正一,博愛路,忠孝西路1段265號(路口燈桿)
4475,EA019,中正一,博愛路,忠孝西路1段265號(路口燈桿)
4476,EA020,中正一,博愛路,開封街1段94巷6號
4477,EA020,中正一,博愛路,開封街1段94巷6號
4478,EA021,中正一,博愛路,延平南路64號
4479,EA021,中正一,博愛路,延平南路64號
4480,EA022,中正一,博愛路,武昌街1段65號
4481,EA022,中正一,博愛路,武昌街1段65號
4482,EA023,中正一,博愛路,中華路1段55號前(西門捷運站4號出口)
4483,EA023,中正一,博愛路,中華路1段55號前(西門捷運站4號出口)
4484,EA024,中正一,博愛路,延平南路與忠孝西路口
4485,EA025,中正一,博愛路,衡陽路91號
4486,EA025,中正一,博愛路,衡陽路91號
4487,EA027,中正一,博愛路,中華路1段11號前
4488,EA028,中正一,博愛路,中華路1段中央分隔島與開封街口
4489,EA029,中正一,博愛路,中華路1段41號
4490,EA029,中正一,博愛路,中華路1段41號
4491,EA030,中正一,博愛路,中華路1段、武昌街1段口北邊
4492,EA031,中正一,博愛路,秀山街西門站5號出口中央分隔島
4493,EA031,中正一,博愛路,秀山街西門站5號出口中央分隔島
4494,EA032,中正一,博愛路,衡陽路、中華路1段中央分隔島
4495,EA033,中正一,博愛路,中華路1段1巷口
4496,EA034,中正一,博愛路,中華路1段11號前
4497,EA034,中正一,博愛路,中華路1段11號前
4498,EA035,中正一,博愛路,中華路1段29號
4499,EA036,中正一,博愛路,中華路1段21巷8號前
4500,EA037,中正一,博愛路,延平南路、中華路1段21巷口
4501,EA038,中正一,博愛路,延平南路82號旁
4502,EA039,中正一,博愛路,北市中正區漢口街1段47號前路口監控
4503,EA039,中正一,博愛路,北市中正區漢口街1段47號前路口監控
4504,EA040,中正一,博愛路,漢口街1段68巷4號
4505,EA042,中正一,博愛路,重慶南路1段、重慶南路1段46巷口
4506,EA043,中正一,博愛路,沅陵街、武昌街16巷口
4507,EA044,中正一,博愛路,沅陵街11號
4508,EA045,中正一,博愛路,延平南路15號
4509,EA045,中正一,博愛路,延平南路15號
4510,EA046,中正一,博愛路,開封街1段111號前
4511,EA046,中正一,博愛路,開封街1段111號前
4512,EA046,中正一,博愛路,開封街1段111號
4513,EA047,中正一,博愛路,中華路1段45號前
4514,EA049,中正一,博愛路,重慶南路1段30號前
4515,EA050,中正一,博愛路,重慶南路1段30號(靠漢口街)
4516,EA050,中正一,博愛路,重慶南路1段30號(靠漢口街)
4517,EA052,中正一,博愛路,重慶南路1段56號
4518,EA053,中正一,博愛路,重慶南路1段70號
4519,EA054,中正一,博愛路,博愛路2號
4520,EA055,中正一,博愛路,北市中正區博愛路52號前（路口監控）
4521,EA056,中正一,博愛路,博愛路33號
4522,EA057,中正一,博愛路,漢口街1段85之5號
4523,EA058,中正一,博愛路,博愛路72號
4524,EA059,中正一,博愛路,開封街1段78巷18號
4525,EA060,中正一,博愛路,博愛路111號
4526,EA061,中正一,博愛路,博愛路150號
4527,EA062,中正一,博愛路,延平南路3之1號
4528,EA063,中正一,博愛路,武昌街1段49號旁
4529,EA064,中正一,博愛路,北市中正區中華路1段53號前中央分隔島路口監控
4530,EA064,中正一,博愛路,北市中正區中華路1段53號前中央分隔島路口監控
4531,EA065,中正一,博愛路,中華路1段55號前中央分隔島
4532,EA065,中正一,博愛路,中華路1段55號前中央分隔島
4533,EA069,中正一,博愛路,忠孝西路1段120號前探照燈桿
4534,EA070,中正一,博愛路,忠孝西路1段120號(台北郵局前地下道出口旁)
4535,EA071,中正一,博愛路,開封街1段33號
4536,EA072,中正一,博愛路,開封街47號前
4537,EA073,中正一,博愛路,漢口街1段65號
4538,EA074,中正一,博愛路,武昌街1段7號前
4539,EA075,中正一,博愛路,武昌街1段19號前
4540,EA075,中正一,博愛路,武昌街1段19號前
4541,EA076,中正一,博愛路,北市中正區武昌街1段49號前（路口監控）
4542,EA077,中正一,博愛路,北市中正區武昌街1段77號前路口監控
4543,EA078,中正一,博愛路,沅陵街3之1號
4544,EA079,中正一,博愛路,衡陽路87號旁
4545,EA080,中正一,博愛路,北市中正區永綏街7號前（路口監控）
4546,EA081,中正一,博愛路,永綏街16號前
4547,EA082,中正一,博愛路,中華路1段53號
4548,EA083,中正一,博愛路,開封街1段97號旁
4549,EA084,中正一,博愛路,衡陽路36號前
4550,EA084,中正一,博愛路,北市中正區衡陽路36號前路口監控
4551,EA085,中正一,博愛路,博愛路忠孝西路地下道
4552,EA086,中正一,博愛路,衡陽路87號後面
4553,EA087,中正一,博愛路,延平南路110號
4554,EA087,中正一,博愛路,延平南路110號
4555,EA088,中正一,博愛路,北市中正區衡陽路105號前路口監控
4556,EA089,中正一,博愛路,中華路1段、秀山街口
4557,EA089,中正一,博愛路,中華路1段、秀山街口
4558,EA090,中正一,博愛路,中華路1段55號前轉角
4559,EA091,中正一,博愛路,北平西路56號
4560,EA091,中正一,博愛路,北平西路56號
4561,EA092,中正一,博愛路,中華路一段55號前(白燈桿)
4562,EA-C01,中正一,博愛路,重慶南路1段104號前燈桿
4563,EA-C02,中正一,博愛路,中華路1段、寶慶路口
4564,EA-C03,中正一,博愛路,中華路、武昌街口
